,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022-04-01,247.79999999999998,4455.22,17732.2,17753.510000000002,17877.77,17877.12,17877.12,17877.12,17877.12,17877.12,17877.12,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98,17901.98
2022-05-01,692.3,20336.37,24735.87,24955.399999999998,26594.789999999997,26594.789999999997,26594.789999999997,28539.789999999997,28539.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,30095.789999999997,
2022-06-01,1073.34,7433.26,13656.720000000001,17405.030000000002,16888.06,16888.06,16888.06,17471.56,17566.29,17568.45,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,22434.15,,
2022-07-01,475.09,19307.649999999998,21797.339999999997,22255.569999999996,24093.239999999998,24093.239999999998,31116.839999999997,31196.999999999996,31226.939999999995,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,36676.52,,,
2022-08-01,1701.57,9760.86,12143.34,14199.64,16109.55,16582.95,16596.68,27898.08,29461.320000000003,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,35169.43,,,,
2022-09-01,1233.98,10643.11,13448.23,13630.32,14442.59,17968.2,23097.21,29080.61,31465.79,31465.79,31465.79,31632.99,31632.99,31632.99,31632.99,31632.99,31632.99,31632.99,31632.99,,,,,
2022-10-01,595.0699999999999,4686.19,6969.2699999999995,8726.619999999999,8855.57,13589.57,19619.07,19619.07,19619.07,20008.07,20008.07,20008.07,20009.7,20009.7,20009.7,20009.7,20009.7,20009.7,,,,,,
2022-11-01,833.05,4556.9800000000005,7504.380000000001,10687.78,13468.54,15413.54,15413.54,15413.54,15427.140000000001,15529.560000000001,15529.560000000001,15529.560000000001,15529.560000000001,15529.560000000001,15557.12,15557.12,15557.12,,,,,,,
2022-12-01,,4191.0,7270.780000000001,9165.810000000001,9345.810000000001,9498.060000000001,9808.03,9848.83,9849.63,9849.63,9849.63,9849.63,9849.63,9851.39,9851.39,9851.39,,,,,,,,
2023-01-01,629.03,20021.35,24043.78,25901.449999999997,30567.879999999997,32242.889999999996,32276.989999999994,32276.989999999994,32292.159999999993,32292.159999999993,32299.379999999994,32299.379999999994,32299.379999999994,32299.379999999994,32299.379999999994,,,,,,,,,
2023-02-01,580.55,16559.63,17709.06,25274.72,25393.72,25453.06,27971.77,27997.49,28001.530000000002,28001.530000000002,28001.530000000002,28001.530000000002,28001.530000000002,28001.530000000002,,,,,,,,,,
2023-03-01,715.77,18764.86,23939.82,24512.97,26195.33,26563.210000000003,26611.890000000003,26611.890000000003,26611.890000000003,26611.890000000003,26611.890000000003,26616.380000000005,26616.380000000005,,,,,,,,,,,
2023-04-01,66.4,16775.04,17289.49,18988.22,19015.420000000002,19071.34,19071.34,19071.34,19106.66,19106.66,19106.66,19106.66,,,,,,,,,,,,
2023-05-01,1042.83,19121.309999999998,20836.609999999997,24133.549999999996,24297.019999999997,24297.019999999997,24297.019999999997,24297.019999999997,25663.42,25663.42,25663.42,,,,,,,,,,,,,
2023-06-01,512.04,17308.98,27491.02,27810.02,27886.260000000002,29525.370000000003,29525.370000000003,29525.370000000003,29525.370000000003,29525.370000000003,,,,,,,,,,,,,,
2023-07-01,332.88,7231.88,11352.11,11121.29,11121.29,11147.01,11147.01,11147.01,11147.01,,,,,,,,,,,,,,,
2023-08-01,680.97,5141.67,7810.51,12440.16,12523.67,12763.210000000001,12763.210000000001,12763.210000000001,,,,,,,,,,,,,,,,
2023-09-01,467.46,10239.23,11124.92,12861.9,19428.93,19428.93,19428.93,,,,,,,,,,,,,,,,,
2023-10-01,746.26,4325.09,5076.2300000000005,5708.450000000001,6317.030000000001,6317.030000000001,,,,,,,,,,,,,,,,,,
2023-11-01,239.2,5936.29,7784.76,7935.5,9535.5,,,,,,,,,,,,,,,,,,,
2023-12-01,,3411.01,4361.450000000001,4361.450000000001,,,,,,,,,,,,,,,,,,,,
2024-01-01,816.14,18529.289999999997,18538.019999999997,,,,,,,,,,,,,,,,,,,,,
2024-02-01,,14065.0,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,
