,2024-03
2022-04-01,21687.915
2022-05-01,20617.48166666667
2022-06-01,20047.02
2022-07-01,19695.693333333333
2022-08-01,19467.213333333333
2022-09-01,19276.708333333332
2022-10-01,18974.55
2022-11-01,18635.426666666666
2022-12-01,18405.906666666666
2023-01-01,17768.024166666666
2023-02-01,17002.068333333333
2023-03-01,15698.959166666667
2023-04-01,15156.199166666667
2023-05-01,15001.129166666668
2023-06-01,15001.129166666668
2023-07-01,14638.657500000001
2023-08-01,13948.457499999999
2023-09-01,13651.490833333335
2023-10-01,12926.258333333337
2023-11-01,12565.323333333334
2023-12-01,12122.973333333335
2024-01-01,11200.785000000002
2024-02-01,11200.785000000002
2024-03-01,11021.963333333333
